query,lat,lon
"Uzsoki Street, Budapest, Hungary",,
"Budapest, District XIV, Dorozsma köz, Hungary",,
"Budapest II. district, Szerb Antal street 12., Hungary",,
"Budapest, District XIII, Csata Street 24., Hungary",,
"Csata Street 24., Budapest, Hungary",,
"Budapest, District XIV, Komócsy Street 29-31., Hungary",,
"Komócsy Street 29-31., Budapest, Hungary",,
"Budapest I. district, Lovas út, Hungary",,
"Budapest VIII. district, Dankó street, Hungary",,
"Dankó street, Budapest, Hungary",,
"Budapest VI. district, Káldy Gyula street, Hungary",,
"Budapest IX. district, Vágóhíd street 9/A, Hungary",,
"Vágóhíd street 9/A, Budapest, Hungary",,
"Budapest II. district, Síp street 4., Hungary",,
"Budapest II. district, Hankóczy Jenő street, Hungary",,
"Hankóczy Jenő street, Budapest, Hungary",,
"Budapest VI. district, Kmety György street, Hungary",,
"Kmety György street, Budapest, Hungary",,
"Budapest, District XIV, Columbus Street 55/b, Hungary",,
"Columbus Street 55/b, Budapest, Hungary",,
"Budapest V. district, Sas street, Hungary",,
"Sas street, Budapest, Hungary",,
"Budapest, District 13, Lőportár Street, Hungary",,
"Lőportár Street, Budapest, Hungary",,
"Budapest 9th district, Ernő street, Hungary",,
"Ernő street, Budapest, Hungary",,
"Budapest 13th district, Gyöngyösi street, Hungary",,
"Gyöngyösi street, Budapest, Hungary",,
"Budapest XIV. district, Fischer István street, Hungary",,
"Fischer István street, Budapest, Hungary",,
"Budapest XI. district, Rahó street, Hungary",,
"Rahó street, Budapest, Hungary",,
"Budapest, District XIII, Mosoly Street, Hungary",,
"Mosoly Street, Budapest, Hungary",,
"Budapest VI. district, Aradi street, Hungary",,
"Aradi street, Budapest, Hungary",,
"Budapest, 12th district, Királyhágó square 6-7., Hungary",,
"Királyhágó square 6-7., Budapest, Hungary",,
"Budapest, District 15, Lóvasút köz, Hungary",,
"Budapest, District XIV, King Lajos Nagy Street 206-208., Hungary",,
"King Lajos Nagy Street 206-208., Budapest, Hungary",,
"Budapest 9th district, Balázs Béla street 15-21., Hungary",,
"Balázs Béla street 15-21., Budapest, Hungary",,
"Budapest III. district, Kings' Avenue, Hungary",,
"Kings' Avenue, Budapest, Hungary",,
"Budapest XI. district, Szerenád street, Hungary",,
"Szerenád street, Budapest, Hungary",,
"Budapest XII. district, Városmajor street, Hungary",,
"Városmajor street, Budapest, Hungary",,
"Budapest IX. district, Egyetértés street, Hungary",,
"Egyetértés street, Budapest, Hungary",,
"Budapest, District XII, Gyógyfű Street 17-27., Hungary",,
"Gyógyfű Street 17-27., Budapest, Hungary",,
"Budapest, District XVII, Szőlőliget Street, Hungary",,
"Szőlőliget Street, Budapest, Hungary",,
"Budapest, District XIII, Röppentyű Street 65., Hungary",,
"Röppentyű Street 65., Budapest, Hungary",,
"Budapest, District 17, Nektár Street, Hungary",,
"Nektár Street, Budapest, Hungary",,
"Budapest 11th district, Budapart square, Hungary",,
"Budapart square, Budapest, Hungary",,
"Budapest, District XIV, Bosnyák Square 9., Hungary",,
"Bosnyák Square 9., Budapest, Hungary",,
"Budapest VII. district, Almássy street, Hungary",,
"Almássy street, Budapest, Hungary",,
"Budapest, District XIV, Kalocsai Street, Hungary",,
"Kalocsai Street, Budapest, Hungary",,
"Budapest 11th district, Bíró László József Boulevard, Hungary",,
"Bíró László József Boulevard, Budapest, Hungary",,
"Budapest II. district, Margit Boulevard, Hungary",,
"Margit Boulevard, Budapest, Hungary",,
"Budapest, District 13, Esztergomi Street, Hungary",,
"Esztergomi Street, Budapest, Hungary",,
"Budapest, District XI, Alíz Street, Hungary",,
"Alíz Street, Budapest, Hungary",,
"Budapest, District XI, Mezőkövesd Street, Hungary",,
"Mezőkövesd Street, Budapest, Hungary",,
"Budapest 13th district, Béke street, Hungary",,
"Béke street, Budapest, Hungary",,
"Budapest XII. district, Tusnádi street 38., Hungary",,
"Tusnádi street 38., Budapest, Hungary",,
"Budapest V. district, Szent István Boulevard, Hungary",,
"Budapest VI. district, Podmaniczky street, Hungary",,
"Podmaniczky street, Budapest, Hungary",,
"Budapest VI. district, Teréz körút 52., Hungary",,
"Budapest XIV. district, Pétervárad street, Hungary",,
"Pétervárad street, Budapest, Hungary",,
"Budapest IV. district, Attila street 16., Hungary",,
"Attila street 16., Budapest, Hungary",,
"Budapest, District XI, Kelenhegyi Street 50., Hungary",,
"Kelenhegyi Street 50., Budapest, Hungary",,
"Budapest II. district, Homokóra street, Hungary",,
"Homokóra street, Budapest, Hungary",,
"Budapest, District XIV, Újvilág Street, Hungary",,
"Újvilág Street, Budapest, Hungary",,
"Budapest, District XIV, Szentmihályi Street 21., Hungary",,
"Szentmihályi Street 21., Budapest, Hungary",,
"Budapest IX. district, Közraktár street 28., Hungary",,
"Közraktár street 28., Budapest, Hungary",,
"Budapest V. district, Arany János street 34., Hungary",,
"Arany János street 34., Budapest, Hungary",,
"Budapest II. district, Szalamandra street, Hungary",,
"Szalamandra street, Budapest, Hungary",,
"Budapest V. district, Sütő street, Hungary",,
"Sütő street, Budapest, Hungary",,
"Budapest, District XIV, Thököly Street, Hungary",,
"Budapest I. district, Vám street 1., Hungary",,
"Budapest VIII. district, Víg street, Hungary",,
"Budapest, District XIV, Bosnyák Street, Hungary",,
"Bosnyák Street, Budapest, Hungary",,
"Budapest III. district, Újliget promenade, Hungary",,
"Újliget promenade, Budapest, Hungary",,
"Budapest XII. district, Győri út 3., Hungary",,
"Budapest, District XIII, Hegedűs Gyula Street, Hungary",,
"Budapest II. district, Hárshegyi street 5-7., Hungary",,
"Hárshegyi street 5-7., Budapest, Hungary",,
"Budapest IX. district, Mester street 26., Hungary",,
"Mester street 26., Budapest, Hungary",,
"Budapest V. district, Academy Street 14., Hungary",,
"Budapest V. district, Veres Pálné street, Hungary",,
"Veres Pálné street, Budapest, Hungary",,
"Budapest II. district, Présház street 3-5., Hungary",,
"Présház street 3-5., Budapest, Hungary",,
"Budapest 6th district, Délibáb street, Hungary",,
"Délibáb street, Budapest, Hungary",,
"Budapest VI. district, Ó street 43-49., Hungary",,
"Ó street 43-49., Budapest, Hungary",,
"Budapest 10th district, Gém street, Hungary",,
"Gém street, Budapest, Hungary",,
"Budapest II. district, Tárogató street, Hungary",,
"Tárogató street, Budapest, Hungary",,
"Budapest XIII. district, Madarász Viktor street 38., Hungary",,
"Madarász Viktor street 38., Budapest, Hungary",,
"Budapest, District XI, Napkelte Street, Hungary",,
"Napkelte Street, Budapest, Hungary",,
"Budapest XIII. district, Fáy street 15., Hungary",,
"Fáy street 15., Budapest, Hungary",,
"Budapest XIV. district, Bosnyák street, Hungary",,
"Bosnyák street, Budapest, Hungary",,
"Budapest VII. district, Kertész street, Hungary",,
"Kertész street, Budapest, Hungary",,
"Budapest VI. district, Zichy Jenő street, Hungary",,
"Zichy Jenő street, Budapest, Hungary",,
"Budapest, District XIII, Szobor Street 4., Hungary",,
"Budapest V. district, Honvéd street 40., Hungary",,
"Honvéd street 40., Budapest, Hungary",,
"Budapest 6th district, Bajnok street, Hungary",,
"Bajnok street, Budapest, Hungary",,
"Budapest 6th district, Csengery street, Hungary",,
"Csengery street, Budapest, Hungary",,
"Budapest II. district, Török street 7., Hungary",,
