price_huf,floor_area_m2,rooms,district,distance_to_center_km,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin
320000,68,2.5,8,1.947015705,0,12,1,renovated,3,4,1,,1,0
965000,120,4,2,5.141908853,9,6,1,novel,2,2,0,86,1,0
300000,68,3,8,1.947015705,0,12,,renovated,4,4,1,,1,1
280000,69,3,7,1.253962327,0,12,,renovated,4,5,1,,0,1
1025000,137,4,2,5.141908853,57,12,1,novel,2,2,1,,1,1
425000,70,2.5,5,0.046426352,0,,1,unknown,3,7,0,8,1,1
295000,67,2,12,2.684578715,0,12,1,renovated,2,3,0,86,1,0
450000,94,2,6,1.144478681,0,6,1,renovated,2,2,1,,1,0
260000,67,2.5,3,7.772316604,0,12,,in good condition,3,,1,,1,0
350000,56,2,5,0.046426352,0,12,1,renovated,3,5,1,,0,1
390000,83,3,5,0.046426352,0,,,renovated,4,,1,,1,1
285000,70,2,7,1.253962327,0,12,1,renovated,3,4,1,,1,1
600000,72,2,5,0.046426352,0,12,1,renovated,3,5,0,86,1,1
300000,66,2.5,13,4.26471956,7,12,,renovated,4,,1,,1,1
331500,83,2,1,1.182039152,3,12,1,renovated,3,5,0,86,1,1
340000,68,2,5,0.046426352,0,12,1,renovated,4,4,0,86,0,1
690000,170,5,13,4.26471956,5,12,,renovated,5,6,1,,1,1
209990,36,1,9,3.262295076,0,,1,unknown,5,,1,,0,0
290000,44,2,8,1.947015705,8.72,,1,novel,5,,0,20.5,1,1
250000,65,2,9,3.262295076,0,12,1,renovated,5,7,0,86,0,1
440000,108,3,11,3.46709936,5,12,1,renovated,6,6,1,,1,1
380000,40,1,5,0.046426352,0,12,1,renovated,7,8,1,,1,1
300000,40,2,8,1.947015705,4,12,,new,5,7,0,3,1,1
249000,36,2,8,1.947015705,0,,1,renovated,0,4,1,,1,0
350000,74,2.5,9,3.262295076,10,12,,novel,4,9,0,20.5,1,1
320000,43,2,11,3.46709936,16,12,,new,5,9,0,3,1,1
220000,32,2,6,1.144478681,0,,1,renovated,0,3,1,,1,0
310000,56,2,13,4.26471956,11,12,1,renovated,0,3,0,86,1,1
