price_huf,floor_area_m2,rooms,district,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin,lat,lon,distance_to_center_km_real,dist_to_metro_km,dist_to_danube_km,is_inner_ring
230000,31,1,10,0,12,,novel,2,8,0,5,1,1,47.4666288,19.1273599,6.416451761,0.136610207,4.702404618,0
225000,33,1,2,0,12,,renovated,2,2,1,,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
239000,33,1,13,8,12,,new,2,8,0,6,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
590000,72,3,11,0,12,0,new,4,6,0,5,1,1,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
380000,72,3,13,0,12,0,new,4,7,0,4,0,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
260000,36,1,13,4.33,12,,new,2,8,0,6,1,1,47.5514712,19.0757648,6.146262603,0.323891398,4.410754918,0
500000,81,3,14,10,12,0,new,4,8,1,,1,1,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
230000,36,1,7,0,12,,renovated,2,4,1,,1,1,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
250000,28,1.5,9,0,12,1,renovated,0,,1,,1,0,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
195000,32,1,6,0,12,0,novel,5,6,0,20.5,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
302500,47,1.5,13,5,12,,new,4,8,0,6,1,1,47.5514712,19.0757648,6.146262603,0.323891398,4.410754918,0
190000,40,1,13,0,12,0,renovated,5,5,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
199000,42,1,5,0,,,renovated,2,4,1,,0,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
250000,48,1.5,13,4,12,,renovated,4,4,1,,1,0,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
280000,46,1.5,6,0,12,1,renovated,2,2,0,86,1,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
230000,28,1.5,6,0,12,0,renovated,1,4,0,4,0,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
210000,49,1.5,2,0,,0,renovated,1,7,1,,0,1,47.4412647,19.1033627,7.249012064,3.190992739,4.304504429,0
310000,52,2,9,5,12,0,new,5,8,0,4,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
275000,60,2,11,17,12,0,novel,5,7,0,20.5,1,1,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
790000,71,3,8,7,12,0,novel,5,9,0,13,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
390000,75,3,8,0,12,0,new,5,9,0,2,1,1,47.4822731,18.9905674,5.186080729,2.986448871,4.881162102,1
500000,76,3,13,5,12,0,renovated,5,7,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
290000,45,2,13,5,12,0,novel,6,7,0,20.5,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
210000,50,2,11,0,12,0,in good condition,6,10,0,61,0,1,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
349000,50,2,13,0,12,,renovated,2,3,1,,1,0,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
370000,64,3,11,19,12,0,new,6,7,1,,1,1,47.4707978,19.0442538,3.131913919,0.305444831,1.561900051,0
